...1,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,Location,City/County,region,subregion,large_region,price_per_sq_ft
1891,Wellington Close,2300000,House,1447,2,NA,London,W11,2AN,Middle,1589.4955079474776
1892,Kenilworth Gardens,520000,House,1162,4,NA,London,SE18,3JB,Further Outer,447.5043029259897
1893,Hillbrook Road,875000,House,1140,4,NA,London,SW17,8SF,Outer,767.5438596491229
1894,Television Centre,740000,Penthouse,579,1,101 Wood Lane,London,W12,7FS,Outer,1278.0656303972366
1895,Phoenix Way,525000,Flat / Apartment,699,2,NA,London,SW18,2PW,Outer,751.0729613733905
1896,Brunswick Gardens,9500000,House,4454,5,NA,London,W8,4AJ,Middle,2132.9142343960484
1897,Wood Crescent,1250000,Flat / Apartment,897,2,NA,London,W12,7GP,Outer,1393.5340022296543
1898,Graveney Road,795000,House,1236,3,NA,London,SW17,0EQ,Outer,643.2038834951456
1899,Philbeach Gardens,935000,Flat / Apartment,683,2,NA,London,SW5,9DY,Middle,1368.9604685212298
1900,Chiswick Village,535000,Flat / Apartment,678,2,NA,London,W4,3DF,Further Outer,789.0855457227138
1901,Sulgrave Road,1995000,House,2055,4,NA,London,W6,7QH,Outer,970.8029197080292
1902,Coleraine Road,1800000,House,2996,5,Blackheath,London,SE3,7PQ,Outer,600.8010680907877
1903,Wellfield Road,750000,House,1030,3,NA,London,SW16,2BY,Outer,728.1553398058253
1904,17 Lillie Square,1430000,New development,905,2,Earls Court,London,SW6,1UE,Outer,1580.110497237569
1905,Claremont Square,1500000,Flat / Apartment,1197,2,NA,London,N1,9LS,central,1253.1328320802006
1906,Leppoc Road,1890000,House,2408,5,NA,London,SW4,9LT,Middle,784.8837209302326
1907,Walsingham,1990000,Flat / Apartment,1364,3,St. Johns Wood Park,London,NW8,6RG,Middle,1458.9442815249267
1908,Battersea Park Road,825000,Flat / Apartment,1109,2,NA,London,SW11,4ND,Middle,743.9134355275022
1909,Samford House,525000,Flat / Apartment,779,4,Charlotte Terrace,London,N1,0JF,central,673.9409499358152
1911,Leathwaite Road,725000,Flat / Apartment,635,2,NA,London,SW11,1XQ,Middle,1141.732283464567
1912,Telfords Yard,900000,Flat / Apartment,1436,2,NA,London,E1,2BS,central,626.740947075209
1913,Belgrave Road,3995000,House,4642,6,Pimlico,London,SW1,2BQ,central,860.6204222317966
1916,Astonville Street,1225000,House,1495,4,Southfields,London,SW18,5AG,Outer,819.3979933110368
1918,Earlsfield Road,1175000,House,2259,5,Wandsworth,London,SW18,3DY,Outer,520.1416555998229
1919,City Road,500000,Flat / Apartment,551,1,Shoreditch,London,EC1,1AG,Further Outer,907.4410163339383
1920,Wilton Place,6600000,House,3388,5,NA,London,SW1,8RH,central,1948.051948051948
1923,Regents Park Road,1750000,Flat / Apartment,1677,2,Primrose Hill,London,NW1,7SX,central,1043.530113297555
1925,York Mansions,2100000,Flat / Apartment,1550,3,Prince of Wales Drive,London,SW11,4BN,Middle,1354.8387096774193
1926,Overstrand Mansions,1685000,Flat / Apartment,1318,2,Prince of Wales Drive,London,SW11,4EU,Middle,1278.4522003034901
1927,Candlemakers Apartments,550000,Flat / Apartment,759,1,Battersea,London,SW11,3RS,Middle,724.6376811594203
1931,Cavendish Road,435000,Flat / Apartment,412,1,NA,London,SW12,0BH,Outer,1055.8252427184466
1932,Cavendish Road,435000,Flat / Apartment,420,1,NA,London,SW12,0BH,Outer,1035.7142857142858
1934,Gowing House,1150000,New development,1206,3,Wandsworth,London,SW18,1SZ,Outer,953.5655058043118
1936,Avenue Close,1695000,Flat / Apartment,1168,2,Avenue Road,London,NW8,6DA,Middle,1451.1986301369864
1937,Provost Street,500000,Flat / Apartment,508,1,Shoreditch,London,N1,7NB,central,984.2519685039371
1938,Cavendish Road,850000,Flat / Apartment,907,3,NA,London,SW12,0BH,Outer,937.1554575523704
1939,The Listed Building,970000,Flat / Apartment,1350,2,350 The Highway,London,E1,3HU,central,718.5185185185185
1940,Highbury Hill,1650000,House,1642,4,NA,London,N5,1AU,Middle,1004.8721071863581
1941,Reynolds House,475000,Flat / Apartment,663,2,Approach Road,London,E2,9JR,central,716.4404223227752
1942,Trouville Road,1050000,Flat / Apartment,1050,2,NA,London,SW4,8QL,Middle,1000
1943,Clancarty Road,1750000,House,1770,4,NA,London,SW6,3AH,Outer,988.7005649717514
1944,Pembridge Road,750000,Flat / Apartment,477,1,NA,London,W11,3HN,Middle,1572.3270440251572
1946,Belsize Avenue,580000,Flat / Apartment,607,1,NA,London,NW3,4BL,Middle,955.5189456342669
1947,17 Lillie Square,1680000,New development,1100,2,Earls Court,London,SW6,1UE,Outer,1527.2727272727273
1948,Turner House,1250000,Flat / Apartment,802,1,Covent Garden,London,WC2,0PP,Further Outer,1558.6034912718205
1949,Pierhead Lock,700000,Flat / Apartment,1387,4,Canary Wharf,London,E14,3FD,Middle,504.6863734679164
1950,Barmouth Road,799999,Flat / Apartment,1283,2,Wandsworth,London,SW18,2DN,Outer,623.5378020265003
1951,Margil House,825000,Flat / Apartment,1175,3,Singapore Road,London,W13,0FD,Further Outer,702.1276595744681
1952,Television Centre,1050000,Flat / Apartment,953,2,101 Wood Lane,London,W12,7FT,Outer,1101.7838405036725
1953,St. Ann's Crescent,575000,Flat / Apartment,720,2,NA,London,SW18,2LR,Outer,798.6111111111111
1954,Eamont Court,725000,Flat / Apartment,617,2,St Johns Wood,London,NW8,7DW,Middle,1175.0405186385738
1956,Lanson Building,525000,Flat / Apartment,472,1,348 Queenstown Road,London,SW11,8QN,Middle,1112.2881355932204
1957,Hepworth Court,1600000,Flat / Apartment,1019,3,30 Gatliff Road,London,S1W,8QP,Further Outer,1570.1668302257115
1958,Quarry Road,1550000,House,2326,5,Wandsworth,London,SW18,2QH,Outer,666.3800515907137
1959,Barmouth Road,750000,Flat / Apartment,1176,3,Wandsworth,London,SW18,2DT,Outer,637.7551020408164
1960,Baxendale Street,950000,House,987,2,Shoreditch,London,E2,7BY,central,962.5126646403243
1961,Redesdale Street,4250000,House,2223,4,NA,London,SW3,4BL,Middle,1911.8308591992802
1962,Oxford Road,710000,Flat / Apartment,730,2,Putney,London,SW15,2LF,Further Outer,972.6027397260274
1965,Chiltern Place,12950000,New development,2840,2,Marylebone,London,W1,4EJ,central,4559.859154929577
1966,Grosvenor Avenue,749950,Flat / Apartment,1053,3,Highbury,London,N5,2NP,Middle,712.2032288698955
1967,Devonshire Road,899950,House,1344,5,NA,London,W5,4TR,Further Outer,669.6056547619048
1969,Hugero Point,399995,Flat / Apartment,569,1,Greenwich,London,SE10,0GS,Outer,702.9789103690686
1970,Ionian Building,525000,Flat / Apartment,814,1,45 Narrow Street,London,E14,8DW,Middle,644.9631449631449
1971,Palladian Gardens,2500000,New development,2967,5,Chiswick,London,W4,2ER,Further Outer,842.6019548365352
1972,Vanilla & Sesame Court,950000,Flat / Apartment,698,2,Curlew Street,London,SE1,2NP,central,1361.0315186246419
1974,Lysia Street,1225000,House,1510,4,Fulham,London,SW6,6NE,Outer,811.2582781456954
1975,Stormont Road,700000,Flat / Apartment,678,2,NA,London,SW11,5EJ,Middle,1032.448377581121
1976,17 Lillie Square,2170000,New development,1081,3,Earls Court,London,SW6,1UE,Outer,2007.4005550416282
1978,Talisman Tower,630000,Flat / Apartment,709,2,Canary Wharf,London,E14,9BU,Middle,888.5754583921015
1979,St Paul Street,1600000,House,1565,3,Islington,London,N1,7AH,central,1022.3642172523962
1980,Balcorne Street,475000,Flat / Apartment,626,2,South Hackney,London,E9,7AU,Middle,758.7859424920127
1982,Fulham Road,500000,Flat / Apartment,481,1,NA,London,SW6,5SA,Outer,1039.5010395010395
1983,Cleveland Street,550000,Flat / Apartment,358,1,Fitzrovia,London,W1,6NU,central,1536.3128491620112
1984,Ferry Road,4350000,House,4862,6,Barnes,London,SW13,9PR,Further Outer,894.6935417523653
1987,Addison Gardens,775000,Flat / Apartment,1173,1,NA,London,W14,0DS,Outer,660.6990622335891
1988,Wadham Road,1345000,House,1909,4,Putney,London,SW15,2LS,Further Outer,704.5573598742798
1989,Carmalt Gardens,2250000,House,2978,5,Putney,London,SW15,6NE,Further Outer,755.5406312961719
1990,Falcon Wharf,500000,Flat / Apartment,752,1,Battersea,London,SW11,3RY,Middle,664.8936170212766
1991,Parliament View Apartments,1600000,Flat / Apartment,1192,2,Lambeth,London,SE1,7XQ,central,1342.2818791946308
1992,Drapers Yard,515000,Flat / Apartment,578,1,Wandsworth,London,SW18,1SF,Outer,891.0034602076124
1993,East Hill,495000,Flat / Apartment,693,1,NA,London,SW18,2HQ,Outer,714.2857142857143
1994,Coborn Road,1485000,House,1541,4,Bow,London,E3,2DA,Middle,963.659961064244
1995,Park Village East,3650000,House,2034,4,Regent's Park,London,NW1,7PZ,central,1794.4936086529008
1996,Haberdasher Street,825000,Penthouse,896,3,NA,London,N1,6EJ,central,920.7589285714286
1998,Elspeth Road,675000,Flat / Apartment,1021,3,NA,London,SW11,1DS,Middle,661.1165523996083
1999,Knightsbridge,17950000,New development,5880,5,NA,London,SW3,2AH,Middle,3052.721088435374
2000,Clephane Road,699950,Flat / Apartment,976,3,Canonbury,London,N1,2FT,central,717.1618852459017
2001,Thorpe Hall Mansions,600000,Flat / Apartment,854,3,Eaton Rise,London,W5,2HB,Further Outer,702.576112412178
2004,Des Barres Court,395000,Penthouse,594,1,Greenwich,London,SE10,0GY,Outer,664.983164983165
2005,Landmark East Tower,795000,Flat / Apartment,862,2,24 Marsh Wall,London,E14,9DB,Middle,922.2737819025522
2006,Argyll Mansions,1350000,Flat / Apartment,1768,3,Bishops King Road,London,W14,8QQ,Outer,763.5746606334842
2007,Benbow House,3600000,Flat / Apartment,2147,3,24 New Globe Walk,London,SE1,9DS,central,1676.7582673497905
2008,Fernshaw Mansions,1599950,Flat / Apartment,1111,3,Fernshaw Road,London,SW10,0TD,Middle,1440.09900990099
2009,The Tower,1850000,Flat / Apartment,1176,2,1 St. George Wharf,London,SW8,2DU,Middle,1573.1292517006802
2010,Weldin Mews,875000,House,1211,3,Putney,London,SW18,1FT,Outer,722.543352601156
2011,Portman Avenue,1350000,House,1830,5,NA,London,SW14,8NX,Further Outer,737.7049180327868
2012,Bolingbroke Grove,625000,Flat / Apartment,760,2,NA,London,SW11,6HB,Middle,822.3684210526316
2013,North Side Wandsworth Common,5500000,House,4273,6,NA,London,SW18,2SU,Outer,1287.1518839223029
2014,Chiswick Wharf,1595000,House,1643,5,Chiswick,London,W4,2SR,Further Outer,970.785149117468
2015,Pembridge Villas,4750000,House,2979,4,NA,London,W11,3EN,Middle,1594.4947969117154
2016,Whittingstall Road,675000,Flat / Apartment,638,1,Fulham,London,SW6,4EA,Outer,1057.9937304075236
2017,Noel Road,900000,Flat / Apartment,822,2,Islington,London,N1,8HD,central,1094.890510948905
2018,Buckland Crescent,6450000,House,5288,6,Belsize Park,London,NW3,5DX,Middle,1219.7428139183055
2019,Chantry Street,1600000,House,1195,2,Islington,London,N1,8NL,central,1338.9121338912134
2020,Curzon Street,3750000,Flat / Apartment,1358,2,Mayfair,London,W1,5HG,central,2761.413843888071
2021,Banister House,465000,Flat / Apartment,730,2,Homerton High Street,London,E9,6BH,Middle,636.986301369863
2022,North Street,850000,Flat / Apartment,842,2,NA,London,SW4,0HQ,Middle,1009.501187648456
2023,Baronsmead Road,3250000,House,3179,6,Barnes,London,SW13,9RR,Further Outer,1022.3340673167663
2024,Tower View Apartments,1500000,Flat / Apartment,1200,2,84 St. Katharines Way,London,E1,1BE,central,1250
2025,Old School Square,450000,Flat / Apartment,717,2,Canary Wharf,London,E14,7DJ,Middle,627.6150627615062
2026,Ashley Gardens,2375000,Flat / Apartment,2123,3,Emery Hill Street,London,SW1,1PD,central,1118.699952896844
2028,Elers Road,1780000,House,2264,5,Ealing,London,W13,9QB,Further Outer,786.2190812720848
2029,Mortimer Road,775000,Flat / Apartment,729,2,De Beauvoir,London,N1,4LA,central,1063.1001371742113
2030,Palace Mansions,1450000,Flat / Apartment,1700,4,Earsby Street,London,W14,8QW,Outer,852.9411764705883
2031,Wendon Street,425000,Flat / Apartment,563,1,Bow,London,E3,2JR,Middle,754.8845470692718
2032,Cheyne Walk,2250000,Flat / Apartment,1171,2,NA,London,SW3,5LX,Middle,1921.4346712211784
2033,Hyde Park Gardens,4250000,Penthouse,1946,4,NA,London,W2,2LU,Middle,2183.9671120246658
2034,Byfeld Gardens,2000000,House,2009,4,Barnes,London,SW13,9HP,Further Outer,995.5201592832254
2035,Severnake Close,800000,House,1260,4,Canary Wharf,London,E14,9WE,Middle,634.9206349206349
2036,Harrowgate Road,900000,House,1275,3,Homerton,London,E9,5EB,Middle,705.8823529411765
2037,Glebe Place,6950000,House,3774,5,NA,London,SW3,5JB,Middle,1841.5474297827238
2038,Borneo Street,779000,Flat / Apartment,832,2,Putney,London,SW15,1QQ,Further Outer,936.2980769230769
2039,Dyers Lane,945000,House,1146,2,Putney,London,SW15,6JR,Further Outer,824.6073298429319
2041,Aristotle Road,599999,Flat / Apartment,821,2,NA,London,SW4,7UZ,Middle,730.8148599269184
2042,Northcote Road,550000,Flat / Apartment,630,2,NA,London,SW11,6QB,Middle,873.015873015873
2043,Vardens Road,700000,Flat / Apartment,680,2,NA,London,SW11,1RQ,Middle,1029.4117647058824
2044,Waterloo Terrace,1850000,House,1512,3,Islington,London,N1,1TQ,central,1223.5449735449736
2048,Vicary House,795000,New development,541,1,24 Bartholomew Close,London,EC1,7BB,Further Outer,1469.5009242144176
2049,47 Pilot Walk,995000,Penthouse,1485,3,Greenwich,London,SE10,0NW,Outer,670.03367003367
2051,Saltram Crescent,750000,Flat / Apartment,1043,3,NA,London,W9,3JS,Middle,719.0795781399809
2052,Langroyd Road,900000,House,1207,3,NA,London,SW17,7PL,Outer,745.6503728251864
2053,Leighton House,875000,Flat / Apartment,922,3,John Islip Street,London,SW1,4EA,central,949.0238611713665
2054,Tennyson Road,775000,House,1201,3,NA,London,SW19,8SH,Further Outer,645.2955870108243
2055,Port East Apartments,565000,Flat / Apartment,653,1,Canary Wharf,London,E14,4AX,Middle,865.2373660030628
2056,City Road,2000000,New development,1342,3,Shoreditch,London,EC1,1AZ,Further Outer,1490.312965722802
2057,City Road,1000000,New development,772,2,Shoreditch,London,EC1,1AZ,Further Outer,1295.3367875647668
2058,Hillgate Place,3075000,House,1477,3,NA,London,W8,7ST,Middle,2081.922816519973
2059,Albert Mews,1250000,House,1877,4,Canary Wharf,London,E14,8EH,Middle,665.9563132658498
2060,Newman Street,895000,Flat / Apartment,601,1,Fitzrovia,London,W1,1PN,central,1489.1846921797005
2061,City Road,900000,Flat / Apartment,1273,2,Shoreditch,London,EC1,2NR,Further Outer,706.9913589945012
2063,Dartmouth Park Road,850000,Flat / Apartment,1382,3,Dartmouth Park,London,NW5,1SX,Middle,615.0506512301013
2064,Battersea Church Road,725000,Flat / Apartment,872,2,Battersea,London,SW11,3LY,Middle,831.4220183486239
2065,Mapleton Crescent,345000,Flat / Apartment,433,1,Wandsworth,London,SW18,4GY,Outer,796.7667436489608
2067,Venice Lodge,1700000,Penthouse,1378,3,Maida Vale,London,W9,1SD,Middle,1233.6719883889696
2068,Stratford Road,1550000,Flat / Apartment,958,3,NA,London,W8,6QA,Middle,1617.9540709812109
2069,Imperial Court,1350000,Flat / Apartment,1428,3,4-10 Lexham Gardens,London,W8,5JH,Middle,945.3781512605042
2070,Highbury Place,999950,Flat / Apartment,726,2,Highbury,London,N5,1QZ,Middle,1377.3415977961433
2071,Cross Street,3300000,House,2640,5,Islington,London,N1,2BH,central,1250
2075,Lucienne Court,630000,Penthouse,1043,2,72 Lindfield Street,London,E14,6GT,Middle,604.0268456375838
2076,47 Pilot Walk,720000,Flat / Apartment,987,2,Greenwich,London,SE10,0NW,Outer,729.483282674772
2077,Park Road,2350000,House,2666,4,Grove Park,London,W4,3HP,Further Outer,881.470367591898
2078,Edgarley Terrace,800000,Flat / Apartment,703,2,NA,London,SW6,6QE,Outer,1137.9800853485065
2079,Octavia Street,1800000,House,1909,4,Battersea,London,SW11,3DN,Middle,942.9020429544264
2080,Barrow Road,1650000,House,2942,5,NA,London,SW16,5PE,Outer,560.8429639700884
2081,Marner Point,367500,Flat / Apartment,472,1,Bow,London,E3,3QE,Middle,778.6016949152543
2082,Shandon Road,945000,Flat / Apartment,1081,2,NA,London,SW4,9HP,Middle,874.1905642923219
2085,Catalina House,685000,Flat / Apartment,560,1,4 Canter Way,London,E1,8QE,central,1223.2142857142858
2086,Rosemont Road,1100000,House,1582,4,Hampstead,London,NW3,6NE,Middle,695.3223767383059
2087,17 Lillie Square,865000,New development,606,1,Earls Court,London,SW6,1UE,Outer,1427.3927392739274
2088,Haverstock Place,725000,Flat / Apartment,696,2,Haverstock Street,London,N1,8BX,central,1041.6666666666667
2089,Saville Road,1200000,House,1310,4,Chiswick,London,W4,5HG,Further Outer,916.0305343511451
2090,Castelnau,1700000,House,2126,4,Barnes,London,SW13,9ER,Further Outer,799.623706491063
2091,East Hill,425000,Flat / Apartment,574,1,NA,London,SW18,2HG,Outer,740.4181184668989
2093,Ludo Building,525000,Flat / Apartment,596,2,375 Earlsfield Road,London,SW18,3DG,Outer,880.8724832214765
2094,Paultons Square,6350000,House,2948,4,NA,London,SW3,5AP,Middle,2154.002713704206
2096,Burnelli Building,825000,Flat / Apartment,722,2,352 Queenstown Road,London,SW11,8NG,Middle,1142.6592797783933
2097,Peninsula Heights,1750000,Flat / Apartment,1481,2,93 Albert Embankment,London,SE1,7TY,central,1181.6340310600945
2098,Atheldene Road,1100000,House,1632,3,Wandsworth,London,SW18,3BN,Outer,674.0196078431372
2099,Old Ford Road,530000,Flat / Apartment,626,2,NA,London,E3,5NQ,Middle,846.6453674121406
2100,St. Ann's Terrace,1795000,Flat / Apartment,1149,2,St. John's Wood,London,NW8,6PH,Middle,1562.2280243690166
2101,Mallinson Road,725000,Flat / Apartment,805,2,NA,London,SW11,1BL,Middle,900.6211180124224
2102,Richmond Road,775000,Flat / Apartment,996,2,Hackney,London,E8,3QW,Middle,778.1124497991968
2103,Manor Road,850000,House,1242,3,NA,London,W13,0JA,Further Outer,684.3800322061192
2105,Henry Tate Mews,845000,House,1510,4,NA,London,SW16,3HA,Outer,559.6026490066225
2106,Paget Street,850000,Flat / Apartment,826,2,Clerkenwell,London,EC1,7PA,Further Outer,1029.0556900726392
2107,Ennismore Avenue,875000,Flat / Apartment,977,2,Chiswick,London,W4,1SE,Further Outer,895.5987717502559
2108,Malthouse Passage,1000000,House,1354,3,Barnes,London,SW13,0AQ,Further Outer,738.5524372230428
2109,Buckingham Court,1050000,Flat / Apartment,751,2,78 Buckingham Gate,London,SW1,6PE,central,1398.1358189081225
2110,Lavender Hill,575000,Flat / Apartment,765,2,NA,London,SW11,5RW,Middle,751.6339869281046
2111,Benbow Road,995000,Flat / Apartment,1013,2,NA,London,W6,0AU,Outer,982.2309970384995
2113,Wood Crescent,1545000,New development,1440,2,NA,London,W12,7GJ,Outer,1072.9166666666667
2114,The Highway,869995,Flat / Apartment,1333,2,NA,London,E1,3HU,central,652.6594148537134
2115,Dungarvan Avenue,1295000,House,1647,4,Putney,London,SW15,5QU,Further Outer,786.2780813600485
2117,Bessborough Place,1800000,House,1467,3,NA,London,SW1,3SE,central,1226.993865030675
2118,Cabul Road,799950,Flat / Apartment,1194,3,NA,London,SW11,2PN,Middle,669.9748743718593
2120,Borneo Street,775000,Flat / Apartment,863,2,Putney,London,SW15,1QQ,Further Outer,898.0301274623407
2121,Boleyn Road,885000,Penthouse,1084,3,NA,London,N16,8EP,Middle,816.4206642066421
2122,Farnsworth Court,495000,Flat / Apartment,821,2,Greenwich,London,SE10,0RU,Outer,602.9232643118148
2124,Chelsea Court,600000,Flat / Apartment,455,1,95 Elm Park Gardens,London,SW10,9QW,Middle,1318.6813186813188
2126,Clapham Common North Side,3425000,House,3622,6,NA,London,SW4,9SB,Middle,945.6101601325234
2127,Stillingfleet Road,1500000,House,2278,5,Barnes,London,SW13,9AF,Further Outer,658.4723441615453
2128,Eustace Building,800000,Flat / Apartment,708,2,372 Queenstown Road,London,SW11,8NT,Middle,1129.9435028248588
2129,Highbury Place,1050000,Flat / Apartment,1020,2,NA,London,N5,1QP,Middle,1029.4117647058824
2130,Islington Green,675000,Flat / Apartment,628,2,Islington,London,N1,2XA,central,1074.8407643312103
2131,Highgate High Street,875000,Flat / Apartment,1077,2,Highgate,London,N6,5JG,Middle,812.4419684308264
2134,Elsham Road,750000,Flat / Apartment,778,2,NA,London,W14,8HB,Outer,964.0102827763496
2135,Atkins Square,685000,New development,1000,3,Dalston Lane,London,E8,1FA,Middle,685
2136,Dukes Mews,4000000,House,2435,3,Marylebone,London,W1,3ET,central,1642.7104722792608
2137,Beech Close,1335000,House,1771,3,Putney,London,SW15,4HW,Further Outer,753.8114059853191
2138,Admiralty House,2250000,New development,1265,3,150 Vaughan Way,London,E1,2AH,central,1778.6561264822135
2139,Westfield,1625000,Flat / Apartment,1612,3,Hampstead,London,NW3,7SG,Middle,1008.0645161290323
2140,Crane Grove,850000,Flat / Apartment,723,2,NA,London,N7,8LE,Middle,1175.6569847856156
2141,Crane Grove,550000,Flat / Apartment,536,1,NA,London,N7,8LE,Middle,1026.1194029850747
2142,Crane Grove,1400000,House,1259,3,NA,London,N7,8LE,Middle,1111.9936457505958
2143,Balham Grove,1200000,House,1335,4,Nightingale Triangle,London,SW12,8AZ,Outer,898.876404494382
2144,Lambourne Avenue,5995000,New development,6313,6,Wimbledon,London,SW19,7DW,Further Outer,949.6277522572469
2145,Poppyfield House,495000,Flat / Apartment,767,2,Copperwood Place,London,SE10,8GD,Outer,645.3715775749674
2146,Thornhill Road,2750000,House,2479,4,Islington,London,N1,1JT,central,1109.318273497378
2147,Mare Street,1675000,House,2110,4,Hackney,London,E8,1HE,Middle,793.8388625592418
2148,Asquith House,1595000,Flat / Apartment,1316,3,Westminster,London,SW1,2AR,central,1212.0060790273556
2149,Boydell Court,1395000,Flat / Apartment,1171,3,St. Johns Wood Park,London,NW8,6NJ,Middle,1191.2894961571308
2150,The Galleries,3295000,Flat / Apartment,2435,4,9 Abbey Road,London,NW8,9AQ,Middle,1353.1827515400412
2151,Fleur De Lis Street,800000,Flat / Apartment,857,1,Spitalfields,London,E1,6BP,central,933.4889148191365
2152,Chester Row,3300000,House,1669,3,Belgravia,London,S1W,8JP,Further Outer,1977.2318753744757
2155,Eden Close,2250000,House,1735,3,NA,London,W8,6UW,Middle,1296.8299711815562
2156,Gillespie Road,550000,Flat / Apartment,585,1,Highbury,London,N5,1LN,Middle,940.1709401709402
2157,Wood Lane,3250000,House,2813,5,Highgate,London,N6,5UB,Middle,1155.3501599715605
2158,Perrymead Street,2990000,House,3175,6,Fulham,London,SW6,3SN,Outer,941.7322834645669
2159,Spice Court,475000,Flat / Apartment,566,1,Asher Way,London,E1,2JD,central,839.2226148409894
2160,Victoria Wharf,750000,Flat / Apartment,885,2,Limehouse,London,E14,8DD,Middle,847.457627118644
2161,Askew Mansions,675000,Flat / Apartment,858,3,NA,London,W12,9DA,Outer,786.7132867132867
2162,Castelnau Gardens,950000,Flat / Apartment,1016,2,Barnes,London,SW13,8DU,Further Outer,935.0393700787401
2163,Garratt Lane,450000,Flat / Apartment,495,1,Wandsworth,London,SW18,4SW,Outer,909.0909090909091
2165,King Henrys Road,2250000,Flat / Apartment,1547,3,Primrose Hill,London,NW3,3RP,Middle,1454.4279250161603
2167,Montpelier Mews,2675000,House,1087,3,NA,London,SW7,1HB,Middle,2460.9015639374425
2169,Hillview,1250000,Flat / Apartment,943,2,2-4 Primrose Hill Road,London,NW3,3AX,Middle,1325.5567338282078
2171,Drake House,850000,Flat / Apartment,861,2,Vauxhall,London,SW8,2LR,Middle,987.2241579558653
2172,West India Quay,1000000,Flat / Apartment,1514,2,Canary Wharf,London,E14,4EF,Middle,660.5019815059445
2173,Bartholomew Villas,825000,Flat / Apartment,687,2,Kentish Town,London,NW5,2LL,Middle,1200.8733624454148
2174,Distillery Wharf,1050000,Flat / Apartment,1091,2,Regatta Lane,London,W6,9BF,Outer,962.4197983501375
2175,Great North Road,2375000,House,3116,6,Highgate,London,N6,4LU,Middle,762.1951219512196
2176,Parkfields,2950000,House,3235,6,Putney,London,SW15,6NH,Further Outer,911.9010819165379
2177,Montevetro,1595000,Flat / Apartment,1219,2,Battersea,London,SW11,3YL,Middle,1308.4495488105003
2178,St. John's Wood Terrace,3750000,House,2243,5,St John's Wood,London,NW8,6JL,Middle,1671.868033883192
2179,Birchside Apartments,550000,Flat / Apartment,599,1,Queens Park,London,NW6,5FS,Middle,918.1969949916528
2180,Alaska Apartments,590000,Flat / Apartment,1048,2,Royal Docks,London,E16,1BW,Outer,562.9770992366413
2181,Newton Street,1298000,New development,591,1,Covent Garden,London,WC2,5EL,Further Outer,2196.2774957698816
2182,Eaton Terrace,7100000,House,2908,5,Belgravia,London,S1W,8TW,Further Outer,2441.540577716644
2183,Hardwicks Square,450000,Flat / Apartment,572,1,Wandsworth,London,SW18,4AG,Outer,786.7132867132867
2184,Union Wharf,1795000,House,1842,3,Islington,London,N1,7BL,central,974.4842562432138
2185,Kingsland Road,375000,Flat / Apartment,450,1,NA,London,E2,8AS,central,833.3333333333334
2186,Globe House,660000,Flat / Apartment,929,2,Canary Wharf,London,E14,0LU,Middle,710.4413347685684
2187,Wadham Gardens,7950000,Flat / Apartment,4168,4,Primrose Hill,London,NW3,3DN,Middle,1907.3896353166986
2188,Dunraven Road,775000,Flat / Apartment,858,2,NA,London,W12,7QY,Outer,903.2634032634032
2189,Chronicle Tower,995000,Flat / Apartment,875,2,Shoreditch,London,EC1,1AL,Further Outer,1137.142857142857
2190,Lillian Road,1350000,House,1520,3,Barnes,London,SW13,9JF,Further Outer,888.1578947368421
2191,Polworth Road,535000,Flat / Apartment,887,3,NA,London,SW16,2EU,Outer,603.1567080045096
2192,Marylands Road,385000,Flat / Apartment,344,1,NA,London,W9,2DU,Middle,1119.1860465116279
2193,Earl's Court Square,1195000,Flat / Apartment,723,2,NA,London,SW5,9DQ,Middle,1652.83540802213
2194,"Castle Court, Putney Wharf",1195000,Penthouse,1260,3,Putney,London,SW15,2JJ,Further Outer,948.4126984126984
2195,Weymouth Mews,1575000,Flat / Apartment,979,2,Marylebone,London,W1,7EG,central,1608.7844739530133
2196,Montpelier Mews,3700000,House,2381,4,NA,London,SW7,1HB,Middle,1553.9689206215876
2197,Bartholomew Road,550000,Flat / Apartment,474,1,Kentish Town,London,NW5,2AS,Middle,1160.337552742616
2198,Downshire Hill,4250000,House,2402,3,Hampstead,London,NW3,1NT,Middle,1769.3588676103248
2199,Meadvale Road,1300000,House,1668,4,NA,London,W5,1LT,Further Outer,779.3764988009592
2200,Earl's Court Square,625000,Flat / Apartment,491,1,NA,London,SW5,9DN,Middle,1272.9124236252546
2201,Stylus House,445000,Flat / Apartment,667,2,Devonport Street,London,E1,0EG,central,667.1664167916042
2202,Balham Hill,670000,Flat / Apartment,743,2,NA,London,SW12,9EA,Outer,901.749663526245
2203,Fernside Road,1385000,House,1837,4,NA,London,SW12,8LL,Outer,753.946652150245
2204,Englewood Road,1650000,House,2305,5,NA,London,SW12,9PA,Outer,715.8351409978308
2205,Hightrees House,625000,Flat / Apartment,768,2,Nightingale Lane,London,SW12,8AH,Outer,813.8020833333334
2206,St John Street,995000,Flat / Apartment,800,2,Clerkenwell,London,EC1,4DT,Further Outer,1243.75
2207,Dale Street,465000,Flat / Apartment,594,1,Chiswick,London,W4,2BZ,Further Outer,782.8282828282828
2208,Handel Mansions,1300000,Flat / Apartment,1299,2,Barnes,London,SW13,8AH,Further Outer,1000.7698229407237
