...1,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,Location,City/County,region,subregion,large_region,price_per_sq_ft
528,Lowndes Square,1750000,Flat / Apartment,853,2,NA,London,SW1,9HA,central,2051.58264947245
529,Eagle Wharf Road,895000,New development,1033,3,Islington,London,N1,7EG,central,866.4085188770571
530,Youngs Court,1000000,Flat / Apartment,884,1,Hampstead,London,NW3,1DD,Middle,1131.2217194570135
531,Moore Park Road,2300000,House,2124,4,Fulham,London,SW6,2HH,Outer,1082.8625235404897
532,Montpellier Road,375000,Flat / Apartment,444,1,Ealing,London,W5,2QS,Further Outer,844.5945945945946
535,Bolander Grove,725000,New development,591,1,NA,London,SW6,1EY,Outer,1226.7343485617598
538,Ashley Gardens,985000,Flat / Apartment,1140,2,Thirleby Road,London,SW1,1HN,central,864.0350877192982
539,St. Ann's Crescent,585000,Flat / Apartment,795,2,NA,London,SW18,2ND,Outer,735.8490566037735
540,Herndon Road,995000,House,1993,5,Wandsworth,London,SW18,2DG,Outer,499.2473657802308
541,Claremont Court,550000,Flat / Apartment,666,2,Shoreditch,London,E2,6DE,central,825.8258258258259
542,Eaton Square,7300000,Flat / Apartment,2230,3,Belgravia,London,S1W,9DH,Further Outer,3273.542600896861
543,Elsworthy Terrace,1250000,Flat / Apartment,885,2,Primrose Hill,London,NW3,3DR,Middle,1412.4293785310736
544,Radnor Mews,3750000,House,2396,4,Hyde Park Estate,London,W2,2SA,Middle,1565.1085141903172
545,Thornton Place,430000,Studio,514,1,Clapham Common North Side,London,SW4,0AB,Middle,836.5758754863813
546,Thornton Place,830000,Flat / Apartment,891,2,Clapham Common North Side,London,SW4,0AB,Middle,931.5375982042649
547,Pearson Square,1100000,Flat / Apartment,635,1,Fitzrovia,London,W1,3BJ,central,1732.283464566929
548,John Adam Street,3100000,New development,1410,3,Covent Garden,London,WC2,6LU,Further Outer,2198.581560283688
549,Vicarage Gate,925000,Flat / Apartment,706,1,NA,London,W8,4HH,Middle,1310.198300283286
550,Pyrland Road,2650000,House,3319,6,Highbury,London,N5,2JA,Middle,798.4332630310334
551,Elwood House,450000,Flat / Apartment,569,2,Hurlock Street,London,N5,1EU,Middle,790.8611599297012
552,Dalston Square,650000,Flat / Apartment,720,2,Hackney,London,E8,3GT,Middle,902.7777777777778
553,Lyncroft Mansions,799950,Flat / Apartment,956,2,West Hampstead,London,NW6,1JY,Middle,836.7677824267782
554,Chelsea Vista,1250000,Penthouse,1209,2,Fulham,London,SW6,2SD,Outer,1033.9123242349049
560,St John Street,775000,Flat / Apartment,810,1,Clerkenwell,London,EC1,4LD,Further Outer,956.7901234567901
561,Meon Road,800000,House,1080,3,Acton,London,W3,8AN,Further Outer,740.7407407407408
562,Beverley Close,1850000,House,1735,4,Barnes,London,SW13,0EH,Further Outer,1066.2824207492795
